gen,t_spin_mean,t_spin_max,diversity,h_anchor_mean,h_anchor_max,h_guard_mean,h_guard_max
174,3.93678,4.44596,0.0558957,1.44685,1.53678,1.44634,1.53678
175,3.93493,4.46449,0.0533807,1.37756,1.45995,1.37702,1.45995
176,3.92977,4.45529,0.0580345,1.30964,1.38695,1.30906,1.38695
177,3.92507,4.45949,0.0533149,1.24424,1.3176,1.24367,1.3176
178,3.93641,4.45859,0.0546197,1.18323,1.25172,1.18269,1.25172
179,3.93976,4.46406,0.0529569,1.11684,1.18913,1.11629,1.18913
180,3.92874,4.45854,0.0527315,1.06782,1.12968,1.06734,1.12968
181,3.90262,4.45012,0.0546417,1.02212,1.07319,1.02176,1.07319
182,3.92633,4.46295,0.0579066,1.01953,1.01953,1.01953,1.01953
183,3.94697,4.46569,0.0554374,5,5,5,5
184,3.92146,4.52154,0.0566718,4.54812,4.75,4.5466,4.75
185,3.93034,4.52269,0.0497527,4.26725,4.5125,4.26565,4.5125
186,3.96714,4.51512,0.0550514,4.0264,4.28688,4.02479,4.28688
187,3.96154,4.51496,0.0548874,3.8186,4.07253,3.81718,4.07253
188,3.92683,4.51059,0.0566617,3.65463,3.8689,3.6534,3.8689
189,3.95338,4.53067,0.0584438,3.46223,3.67546,3.46087,3.67546
190,3.92348,4.55162,0.0562363,3.28655,3.49169,3.28505,3.49169
191,3.98095,4.56031,0.0537585,3.13143,3.3171,3.13001,3.3171
192,3.96392,4.52188,0.0544723,2.96525,3.15125,2.96396,3.15125
193,3.95981,4.53636,0.0539553,2.81608,2.99368,2.81478,2.99368
194,3.96176,4.53242,0.0548431,2.67654,2.844,2.67523,2.844
195,3.96865,4.54127,0.0516928,2.5454,2.7018,2.54444,2.7018
196,3.88335,4.53039,0.0533923,2.41838,2.56671,2.41734,2.56671
197,3.94103,4.52512,0.0548267,2.29517,2.43837,2.29406,2.43837
198,3.98571,4.52389,0.0555541,2.17799,2.31646,2.17701,2.31646
199,3.97027,4.54289,0.0530072,2.07096,2.20063,2.07009,2.20063
200,3.93077,4.4914,0.0543316,1.96858,2.0906,1.96769,2.0906
