exp_id,seed,k_eval,gen,id,t_spin,h_anchor,h_guard,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14
HITL,2,40,1,62,0.0249662,5,5,0.200026,0.402778,0.236013,0.191118,0.270416,0.230821,0.200915,0.173672,0.224919,0.173095,0.287336,0.224238,0.28691,0.197981,0.219038,0.228205,0.284752,0.169042
HITL,2,40,1,63,0.0329193,5,5,0.266425,0.402778,0.236013,0.209794,0.162656,0.287151,0.272483,0.210084,0.250326,0.231456,0.241768,0.277828,0.297972,0.162133,0.235183,0.285488,0.209478,0.188194
HITL,2,40,1,64,0.0236914,5,5,0.189383,0.402778,0.236013,0.169677,0.243783,0.181653,0.206751,0.210187,0.243667,0.29329,0.298286,0.19484,0.189677,0.258039,0.25344,0.190703,0.291897,0.270206
HITL,2,40,1,65,0.0369489,5,5,0.300068,0.402778,0.236013,0.179794,0.224483,0.163844,0.228743,0.235412,0.1772,0.161187,0.177012,0.223171,0.15839,0.176105,0.179116,0.214366,0.230432,0.205127
HITL,2,40,1,66,0.00733927,5,5,0.0528617,0.402778,0.236013,0.246809,0.289808,0.184938,0.298503,0.200051,0.239776,0.203838,0.252059,0.27798,0.268926,0.243276,0.234837,0.172901,0.272016,0.297519
HITL,2,40,1,67,0.0165515,5,5,0.129773,0.402778,0.236013,0.245036,0.237216,0.172289,0.191501,0.204078,0.178757,0.298559,0.28849,0.205811,0.171773,0.209336,0.174646,0.230733,0.176753,0.157357
HITL,2,40,1,68,0.00194951,5,5,0.00786344,0.402778,0.236013,0.242151,0.207151,0.252521,0.228375,0.244145,0.197774,0.237334,0.224186,0.239148,0.151153,0.294735,0.185266,0.161503,0.194223,0.25394
HITL,2,40,1,69,0.00704263,5,5,0.0503851,0.402778,0.236013,0.28991,0.276623,0.199004,0.274826,0.158159,0.163925,0.177952,0.268165,0.258637,0.169671,0.256219,0.264267,0.178629,0.250605,0.21084
HITL,2,40,1,70,0.00268972,5,5,0.0140433,0.402778,0.236013,0.161011,0.227618,0.223885,0.282286,0.234029,0.276037,0.217988,0.257331,0.29548,0.153167,0.217696,0.214478,0.26701,0.152781,0.236978
HITL,2,40,1,71,0.0440594,5,5,0.359433,0.402778,0.236013,0.191824,0.221487,0.257588,0.244484,0.186929,0.180811,0.277598,0.22613,0.296934,0.249528,0.183851,0.175404,0.198639,0.264553,0.219039
HITL,2,40,1,72,0.00100765,5,5,0,0.402778,0.236013,0.235189,0.239281,0.176185,0.201475,0.194176,0.290442,0.151133,0.293427,0.171177,0.23162,0.189384,0.195662,0.2644,0.253658,0.264809
HITL,2,40,1,73,0.00706868,5,5,0.0506026,0.402778,0.236013,0.178357,0.180414,0.263657,0.168193,0.28608,0.288559,0.225772,0.255494,0.200173,0.245516,0.153753,0.182892,0.218056,0.223533,0.29786
HITL,2,40,1,74,0.0103116,5,5,0.0776769,0.402778,0.236013,0.299835,0.168465,0.191423,0.162388,0.201213,0.292338,0.235467,0.155993,0.228095,0.289965,0.295919,0.286779,0.263889,0.187735,0.285083
HITL,2,40,1,75,0.00595905,5,5,0.0413385,0.402778,0.236013,0.194576,0.281644,0.15621,0.158462,0.270474,0.166006,0.215881,0.201473,0.191686,0.204308,0.222849,0.275465,0.242578,0.286105,0.275506
HITL,2,40,1,76,0.0218977,5,5,0.174408,0.402778,0.236013,0.17192,0.213415,0.229952,0.188364,0.234943,0.296133,0.183783,0.267684,0.299242,0.188109,0.278409,0.176085,0.288301,0.195632,0.191702
HITL,2,40,1,77,0.00104372,5,5,0.000301117,0.402778,0.236013,0.28571,0.193675,0.183314,0.1964,0.25102,0.153243,0.173072,0.16664,0.228499,0.157693,0.288097,0.220247,0.242282,0.180101,0.254378
HITL,2,40,1,78,0.0185183,5,5,0.146194,0.402778,0.236013,0.153597,0.161777,0.286894,0.182257,0.223549,0.228467,0.177805,0.238425,0.189192,0.248359,0.188585,0.214875,0.225114,0.152908,0.166298
HITL,2,40,1,79,0.02463,5,5,0.197219,0.402778,0.236013,0.163266,0.217555,0.230628,0.296516,0.201742,0.176828,0.295079,0.23034,0.294398,0.202756,0.161169,0.218101,0.296836,0.160731,0.221373
HITL,2,40,1,80,0.00112731,5,5,0.000999011,0.402778,0.236013,0.27732,0.181648,0.268824,0.159698,0.197208,0.175601,0.296153,0.241028,0.191838,0.288372,0.233081,0.20341,0.256308,0.251248,0.294336
HITL,2,40,1,81,0.0563707,5,5,0.462217,0.402778,0.236013,0.159183,0.281587,0.247776,0.173032,0.211141,0.158531,0.280577,0.165033,0.182892,0.256302,0.264144,0.182555,0.17329,0.153776,0.161983
HITL,2,40,1,82,0.0153017,5,5,0.119339,0.402778,0.236013,0.282353,0.176868,0.210537,0.265505,0.297462,0.280877,0.288417,0.274799,0.202328,0.245576,0.256094,0.21192,0.240505,0.29563,0.198993
HITL,2,40,1,83,0.00185463,5,5,0.00707134,0.402778,0.236013,0.288079,0.2981,0.238042,0.287257,0.26155,0.257811,0.166972,0.261942,0.176843,0.263551,0.158967,0.281404,0.178036,0.278723,0.284329
HITL,2,40,1,84,0.00733128,5,5,0.052795,0.402778,0.236013,0.165366,0.167374,0.296266,0.297632,0.164444,0.245401,0.205394,0.158846,0.277766,0.249537,0.159082,0.217997,0.21102,0.297749,0.299183
HITL,2,40,1,85,0.0854038,5,5,0.70461,0.402778,0.236013,0.183991,0.264462,0.24941,0.215149,0.236366,0.211529,0.155884,0.263231,0.269353,0.290268,0.228162,0.159989,0.288999,0.187659,0.169775
HITL,2,40,1,86,0.0032433,5,5,0.0186651,0.402778,0.236013,0.171789,0.238675,0.208614,0.256206,0.162505,0.15247,0.29404,0.163619,0.201845,0.152818,0.28252,0.277026,0.238282,0.173794,0.270228
