exp_id,seed,k_eval,gen,id,t_spin,h_score,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19
noHITL,1,0,1,30,0.00903499,,0.54264,0,0.547243,0.302369,0.339933,0.124159,0.169511,0.162288,0.3752,0.313394,0.266165,0.191355,0.350456,0.230592,0.377037,0.311816,0.243409,0.137863,0.392813,0.14795,0.160781,0.229355,0.221261
noHITL,1,0,1,31,0.00868667,,0.496738,0,0.547243,0.144025,0.318796,0.156624,0.293169,0.326292,0.16322,0.280286,0.324679,0.291466,0.279138,0.188645,0.319482,0.383593,0.227668,0.334655,0.116842,0.350581,0.157675,0.218529,0.190024
noHITL,1,0,1,32,0.00586317,,0.124648,0,0.547243,0.124031,0.371389,0.211046,0.259209,0.248235,0.139648,0.161936,0.122857,0.252377,0.178465,0.207118,0.13242,0.336266,0.131975,0.395713,0.153148,0.271722,0.113454,0.336135,0.156882
noHITL,1,0,1,33,0.0101877,,0.694543,0,0.547243,0.258371,0.322023,0.144979,0.265326,0.164985,0.327759,0.316875,0.152965,0.35859,0.105933,0.358071,0.267671,0.220966,0.327624,0.315079,0.396198,0.183426,0.101138,0.380171,0.357369
noHITL,1,0,1,34,0.0105561,,0.743098,0,0.547243,0.318655,0.255007,0.312087,0.334159,0.212463,0.331097,0.325187,0.283963,0.22056,0.309192,0.100934,0.332469,0.368925,0.171795,0.13623,0.166085,0.190629,0.364909,0.26295,0.186013
noHITL,1,0,1,35,0.00749855,,0.340164,0,0.547243,0.141506,0.187043,0.284161,0.197242,0.237208,0.233235,0.348441,0.227904,0.20371,0.302491,0.166445,0.240174,0.19443,0.288057,0.363208,0.234307,0.335337,0.23709,0.296869,0.139552
noHITL,1,0,1,36,0.0121145,,0.948467,0,0.547243,0.229894,0.372794,0.281644,0.330032,0.25141,0.249417,0.35287,0.120342,0.271982,0.382829,0.255358,0.15834,0.354382,0.175492,0.310218,0.262078,0.384651,0.287301,0.351393,0.10238
noHITL,1,0,1,37,0.0117206,,0.89656,0,0.547243,0.396802,0.123314,0.196639,0.383846,0.102682,0.346819,0.358363,0.231949,0.176724,0.340807,0.243359,0.140302,0.378355,0.368791,0.247464,0.357011,0.225573,0.305039,0.219397,0.251723
noHITL,1,0,1,38,0.00683596,,0.252845,0,0.547243,0.156866,0.389497,0.188265,0.131038,0.143295,0.104228,0.314784,0.269349,0.338374,0.252124,0.337546,0.308729,0.333355,0.221945,0.294331,0.153938,0.196546,0.151781,0.222591,0.172426
noHITL,1,0,1,39,0.0100374,,0.674743,0,0.547243,0.222077,0.392567,0.196096,0.394747,0.290892,0.212527,0.357245,0.285876,0.17561,0.337857,0.229882,0.207253,0.199083,0.309211,0.180595,0.342483,0.188587,0.263236,0.246376,0.356607
noHITL,1,0,2,0,0.0125055,,0.640367,0,0.479528,0.197993,0.258117,0.365783,0.207181,0.372561,0.287008,0.104746,0.378831,0.307269,0.399197,0.151702,0.141141,0.379779,0.309045,0.1198,0.326639,0.326163,0.376907,0.313457,0.137281
noHITL,1,0,2,1,0.0121769,,0.604423,0,0.479528,0.385053,0.266996,0.374682,0.29247,0.217002,0.245797,0.281293,0.264864,0.377854,0.37562,0.218463,0.388979,0.152187,0.137899,0.140524,0.251699,0.106457,0.384391,0.348135,0.104506
noHITL,1,0,2,2,0.010335,,0.403001,0,0.479528,0.366516,0.155315,0.275605,0.369462,0.233835,0.37656,0.183697,0.282649,0.304736,0.168462,0.10413,0.225017,0.381545,0.202908,0.333923,0.152421,0.202586,0.143379,0.315031,0.309792
noHITL,1,0,2,3,0.00664989,,0,0,0.479528,0.306549,0.176019,0.307708,0.168189,0.227395,0.211577,0.206592,0.117296,0.289494,0.312195,0.284077,0.294494,0.150982,0.144834,0.254253,0.3626,0.155186,0.238852,0.22868,0.249187
noHITL,1,0,2,4,0.00957247,,0.31961,0,0.479528,0.148453,0.202732,0.178564,0.353358,0.3401,0.227992,0.282105,0.14364,0.252884,0.189084,0.357895,0.30148,0.290042,0.137425,0.241176,0.395972,0.38449,0.293526,0.145517,0.291738
noHITL,1,0,2,5,0.00743131,,0.0854555,0,0.479528,0.269699,0.2406,0.228411,0.279781,0.354991,0.325336,0.273808,0.377411,0.119422,0.397404,0.115898,0.159849,0.226826,0.132253,0.287101,0.114398,0.185387,0.118311,0.311056,0.300537
noHITL,1,0,2,6,0.00973901,,0.337822,0,0.479528,0.263015,0.318919,0.345937,0.256032,0.330021,0.274795,0.123163,0.182329,0.157336,0.4,0.165415,0.201396,0.4,0.255837,0.284735,0.241346,0.341721,0.336868,0.1,0.31824
noHITL,1,0,2,7,0.00956258,,0.318529,0,0.479528,0.262938,0.252712,0.4,0.204193,0.144035,0.303638,0.212275,0.343558,0.313365,0.4,0.120742,0.363854,0.13568,0.131281,0.155455,0.327648,0.138929,0.379467,0.293436,0.1
noHITL,1,0,2,8,0.0125912,,0.649731,0,0.479528,0.271253,0.327826,0.296755,0.27713,0.279017,0.269497,0.260105,0.204512,0.326516,0.367198,0.236326,0.4,0.360657,0.190342,0.215857,0.222368,0.273855,0.383103,0.4,0.11138
noHITL,1,0,2,9,0.0104392,,0.414398,0,0.479528,0.198426,0.37652,0.300323,0.32176,0.209455,0.229632,0.204585,0.111806,0.297005,0.4,0.227911,0.282985,0.252214,0.187167,0.325914,0.267155,0.333727,0.29888,0.4,0.170615
noHITL,1,0,2,10,0.0126778,,0.659211,0,0.479528,0.19029,0.243947,0.364624,0.232308,0.306462,0.327331,0.102642,0.29399,0.174327,0.356046,0.114343,0.215811,0.347093,0.28831,0.301467,0.351515,0.331551,0.35429,0.346758,0.341868
noHITL,1,0,2,11,0.0157941,,1,0,0.479528,0.165904,0.329067,0.330698,0.256116,0.4,0.32952,0.1,0.222197,0.275153,0.366992,0.201577,0.4,0.327076,0.372764,0.236825,0.35586,0.4,0.4,0.296816,0.204424
noHITL,1,0,2,12,0.0135604,,0.755729,0,0.479528,0.198498,0.249654,0.272991,0.350883,0.367895,0.245557,0.219562,0.107,0.287718,0.4,0.125088,0.123978,0.4,0.3021,0.176786,0.3636,0.351832,0.4,0.332522,0.1
noHITL,1,0,2,13,0.0101584,,0.383684,0,0.479528,0.147294,0.4,0.202005,0.244115,0.372375,0.309035,0.135279,0.120005,0.35942,0.380555,0.162261,0.1,0.188722,0.217248,0.108417,0.371243,0.3162,0.322174,0.283828,0.172234
noHITL,1,0,2,14,0.00928374,,0.288035,0,0.479528,0.149393,0.363028,0.254919,0.289193,0.241016,0.29043,0.175563,0.117504,0.163366,0.187505,0.34356,0.243935,0.318549,0.308786,0.322517,0.214039,0.312611,0.302217,0.245851,0.104258
noHITL,1,0,2,15,0.0102415,,0.392771,0,0.479528,0.316457,0.4,0.237285,0.281812,0.236994,0.4,0.143673,0.238074,0.251048,0.4,0.226111,0.308818,0.319695,0.212493,0.337099,0.291166,0.250912,0.378718,0.10989,0.148436
noHITL,1,0,2,16,0.0114424,,0.524101,0,0.479528,0.220116,0.358483,0.161603,0.307244,0.339771,0.317434,0.231472,0.138266,0.255904,0.346118,0.251838,0.366578,0.266101,0.305728,0.175706,0.160847,0.305807,0.3801,0.215668,0.300439
noHITL,1,0,2,17,0.015281,,0.943892,0,0.479528,0.248183,0.38945,0.269849,0.4,0.359809,0.383796,0.169452,0.115268,0.24913,0.39076,0.1,0.282764,0.4,0.351904,0.182994,0.36895,0.268098,0.320186,0.111337,0.348444
noHITL,1,0,2,18,0.00999088,,0.365367,0,0.479528,0.170208,0.28585,0.306253,0.242807,0.4,0.258977,0.119275,0.1,0.315893,0.140457,0.255741,0.196769,0.250019,0.102419,0.255114,0.383886,0.273562,0.4,0.343618,0.109838
noHITL,1,0,2,19,0.0089541,,0.251986,0,0.479528,0.389956,0.279072,0.307208,0.228711,0.193075,0.248951,0.17568,0.191354,0.361882,0.225466,0.205934,0.345999,0.190377,0.195312,0.140231,0.374132,0.124121,0.346362,0.362687,0.197351
noHITL,1,0,2,20,0.0107277,,0.445945,0,0.479528,0.345374,0.4,0.282599,0.346588,0.269272,0.354117,0.255491,0.171675,0.359597,0.364383,0.26433,0.217847,0.12987,0.337153,0.262681,0.231173,0.259552,0.344108,0.128958,0.107253
noHITL,1,0,2,21,0.0132041,,0.716764,0,0.479528,0.265653,0.366097,0.280405,0.341228,0.196724,0.291981,0.355031,0.127468,0.330438,0.160267,0.236075,0.38487,0.357301,0.175966,0.187197,0.359751,0.378775,0.328514,0.359077,0.166085
noHITL,1,0,2,22,0.0126825,,0.659714,0,0.479528,0.320418,0.4,0.235588,0.332244,0.346364,0.326168,0.149763,0.1,0.192911,0.398641,0.332027,0.179919,0.36781,0.21953,0.288313,0.20275,0.370873,0.353284,0.181819,0.331072
noHITL,1,0,2,23,0.0151296,,0.927334,0,0.479528,0.109723,0.4,0.216129,0.301312,0.4,0.333488,0.146234,0.163081,0.237641,0.4,0.1,0.210624,0.345459,0.362787,0.288158,0.276362,0.285367,0.368937,0.243402,0.4
noHITL,1,0,2,24,0.0126247,,0.653399,0,0.479528,0.15696,0.375958,0.4,0.317838,0.4,0.241739,0.282293,0.235035,0.259217,0.331132,0.278747,0.136989,0.346418,0.179686,0.139717,0.28808,0.4,0.290479,0.318641,0.159462
